feature_id,n_languages,l1_covered,total_covered,l1_share,total_share,dataset,feature
139A,35,4347200.0,0.0,0.1,0.0,wals,Irregular Negatives in Sign Languages
13A,519,4285320824.0,7286644808.5402,62.5,67.0,wals,Tone
140A,38,4347275.0,0.0,0.1,0.0,wals,Question Particles in Sign Languages
141A,6,57625.0,258163.271,0.0,0.0,wals,Writing Systems
142A,139,2930456573.0,5235694644.6782,42.7,48.2,wals,Para-Linguistic Usages of Clicks
143A,1298,5373515146.0,9103804715.72473,78.3,83.8,wals,Order of Negative Morpheme and Verb
143B,117,131850334.0,169449140.9393,1.9,1.6,wals,Obligatory Double Negation
143C,81,211481817.0,491236411.35580003,3.1,4.5,wals,Optional Double Negation
143D,6,18000.0,1731045.0,0.0,0.0,wals,Optional Triple Negation
143E,1298,5373515146.0,9103804715.72473,78.3,83.8,wals,Preverbal Negative Morphemes
143F,1298,5373515146.0,9103804715.72473,78.3,83.8,wals,Postverbal Negative Morphemes
143G,1298,5373515146.0,9103804715.72473,78.3,83.8,wals,Minor morphological means of signaling negation
144A,1168,5309394862.0,9041178609.22983,77.4,83.2,wals,"Position of Negative Word With Respect to Subject, Object, and Verb"
144B,600,4388732554.0,7792504825.59843,64.0,71.7,wals,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb
144C,27,13740219.0,15700665.2679,0.2,0.1,wals,Languages with different word order in negative clauses
144D,458,3326733940.0,5983937126.47093,48.5,55.1,wals,The Position of Negative Morphemes in SVO Languages
144E,48,173501253.0,279679677.0652,2.5,2.6,wals,Multiple Negative Constructions in SVO Languages
144F,55,32883650.0,39954642.7866,0.5,0.4,wals,Obligatory Double Negation in SVO languages
144G,35,203292896.0,480171430.349,3.0,4.4,wals,Optional Double Negation in SVO languages
144H,415,3308220480.0,5968219702.63433,48.2,54.9,wals,NegSVO Order
144I,416,3308220480.0,5968219702.63433,48.2,54.9,wals,SNegVO Order
144J,441,3323905401.0,5979966714.42093,48.5,55.0,wals,SVNegO Order
144K,441,3323905401.0,5979966714.42093,48.5,55.0,wals,SVONeg Order
144L,560,2014084286.0,2771731313.8762,29.4,25.5,wals,The Position of Negative Morphemes in SOV Languages
144M,54,114044402.0,191548448.179,1.7,1.8,wals,Multiple Negative Constructions in SOV Languages
144N,44,63344843.0,89554318.1104,0.9,0.8,wals,Obligatory Double Negation in SOV languages
144O,31,765713.0,456781.80000000005,0.0,0.0,wals,Optional Double Negation in SOV languages
144P,399,1963834036.0,2724337952.6622,28.6,25.1,wals,NegSOV Order
144Q,399,1963834036.0,2724337952.6622,28.6,25.1,wals,SNegOV Order
144R,402,1965237276.0,2724337952.6622,28.6,25.1,wals,SONegV Order
144S,478,1972846739.0,2746169968.6422,28.8,25.3,wals,SOVNeg Order
144T,148,118775556.0,523043911.7927,1.7,4.8,wals,The Position of Negative Morphemes in Verb-Initial Languages
144U,17,35505708.0,39961173.22,0.5,0.4,wals,Double negation in verb-initial languages
144V,148,118775556.0,523043911.7927,1.7,4.8,wals,Verb-Initial with Preverbal Negative
144W,147,118775556.0,523043911.7927,1.7,4.8,wals,Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object
144X,147,118775556.0,523043911.7927,1.7,4.8,wals,Verb-Initial with Clause-Final Negative
144Y,16,33619.0,9973.05,0.0,0.0,wals,The Position of Negative Morphemes in Object-Initial Languages
14A,485,4089245421.0,6967937413.822172,59.6,64.1,wals,Fixed Stress Locations
15A,483,4089076052.0,6967766432.322172,59.6,64.1,wals,Weight-Sensitive Stress
16A,483,4089076052.0,6967766432.322172,59.6,64.1,wals,Weight Factors in Weight-Sensitive Stress Systems
17A,310,2270789954.0,4216290473.6412,33.1,38.8,wals,Rhythm Types
18A,559,4292711474.0,7294330961.2226,62.6,67.1,wals,Absence of Common Consonants
19A,559,4292711474.0,7294330961.2226,62.6,67.1,wals,Presence of Uncommon Consonants
1A,555,4284709824.0,7287825518.822599,62.5,67.1,wals,Consonant Inventories
20A,164,3268652046.0,6094546317.1092,47.6,56.1,wals,Fusion of Selected Inflectional Formatives
21A,161,3268449925.0,6094375335.6092,47.6,56.1,wals,Exponence of Selected Inflectional Formatives
21B,159,3268449919.0,6094375335.6092,47.6,56.1,wals,Exponence of Tense-Aspect-Mood Inflection
22A,144,3278957542.0,6100230804.4012,47.8,56.1,wals,Inflectional Synthesis of the Verb
23A,235,3317889824.0,6143518571.327,48.4,56.5,wals,Locus of Marking in the Clause
24A,235,3317889824.0,6143518571.327,48.4,56.5,wals,Locus of Marking in Possessive Noun Phrases
25A,235,3317889824.0,6143518571.327,48.4,56.5,wals,Locus of Marking: Whole-language Typology
25B,234,3317890424.0,6143518571.327,48.4,56.5,wals,Zero Marking of A and P Arguments
26A,958,4799356274.0,8515423392.98623,70.0,78.4,wals,Prefixing vs. Suffixing in Inflectional Morphology
27A,364,4169945318.0,7160220368.89963,60.8,65.9,wals,Reduplication
28A,197,3339558057.0,6165195161.9744,48.7,56.7,wals,Case Syncretism
29A,197,3339558112.0,6165195161.9744,48.7,56.7,wals,Syncretism in Verbal Person/Number Marking
2A,556,4292711474.0,7294330961.2226,62.6,67.1,wals,Vowel Quality Inventories
30A,257,3624823170.0,6681202297.9634,52.8,61.5,wals,Number of Genders
31A,257,3624823170.0,6681202297.9634,52.8,61.5,wals,Sex-based and Non-sex-based Gender Systems
32A,257,3624823170.0,6681202297.9634,52.8,61.5,wals,Systems of Gender Assignment
33A,1051,4764541205.0,8074866043.10993,69.5,74.3,wals,Coding of Nominal Plurality
34A,289,3910605270.0,6832576191.15543,57.0,62.9,wals,Occurrence of Nominal Plurality
35A,260,3629324176.0,6582013362.5294,52.9,60.6,wals,Plurality in Independent Personal Pronouns
36A,232,4310221304.0,7360478293.43713,62.8,67.7,wals,The Associative Plural
37A,610,3463197120.0,6789603625.93393,50.5,62.5,wals,Definite Articles
38A,525,3331341771.0,6049263411.34013,48.6,55.7,wals,Indefinite Articles
39A,199,3339559307.0,6165195161.9744,48.7,56.7,wals,Inclusive/Exclusive Distinction in Independent Pronouns
39B,68,9161.0,2489.4797999999996,0.0,0.0,wals,Inclusive/Exclusive Forms in Pama-Nyungan
3A,556,4292711474.0,7294330961.2226,62.6,67.1,wals,Consonant-Vowel Ratio
40A,199,3339559307.0,6165195161.9744,48.7,56.7,wals,Inclusive/Exclusive Distinction in Verbal Inflection
41A,233,3512128393.0,6532014341.5238,51.2,60.1,wals,Distance Contrasts in Demonstratives
42A,201,3388288841.0,6394145134.7038,49.4,58.8,wals,Pronominal and Adnominal Demonstratives
43A,224,3449415607.0,6212248627.702,50.3,57.2,wals,Third Person Pronouns and Demonstratives
44A,375,3550987303.0,6415818124.167,51.8,59.0,wals,Gender Distinctions in Independent Personal Pronouns
45A,205,4213173500.0,7456594379.839129,61.4,68.6,wals,Politeness Distinctions in Pronouns
46A,324,4285982125.0,7319608232.31713,62.5,67.4,wals,Indefinite Pronouns
47A,168,4579986526.0,7688464014.76363,66.8,70.7,wals,Intensifiers and Reflexive Pronouns
48A,375,3550988908.0,6415818124.167,51.8,59.0,wals,Person Marking on Adpositions
49A,259,3614222961.0,6582587433.09,52.7,60.6,wals,Number of Cases
4A,559,4292711474.0,7294330961.2226,62.6,67.1,wals,Voicing in Plosives and Fricatives
50A,259,3614222961.0,6582587433.09,52.7,60.6,wals,Asymmetrical Case-Marking
51A,1017,5111549417.0,8815114154.159029,74.5,81.1,wals,Position of Case Affixes
52A,318,3515035744.0,6622307101.2043295,51.2,60.9,wals,Comitatives and Instrumentals
53A,317,4610009005.0,7670830329.13133,67.2,70.6,wals,Ordinal Numerals
54A,234,4221862605.0,7220201303.2906,61.5,66.4,wals,Distributive Numerals
55A,394,3520858584.0,6479159428.9922,51.3,59.6,wals,Numeral Classifiers
56A,114,2918816285.0,5683944690.793,42.5,52.3,wals,Conjunctions and Universal Quantifiers
57A,891,3455264287.0,6522863907.4056,50.4,60.0,wals,Position of Pronominal Possessive Affixes
58A,243,3313775393.0,6151161890.36,48.3,56.6,wals,Obligatory Possessive Inflection
58B,242,3313775393.0,6151050533.64,48.3,56.6,wals,Number of Possessive Nouns
59A,242,3313771893.0,6151161890.36,48.3,56.6,wals,Possessive Classification
5A,559,4292711474.0,7294330961.2226,62.6,67.1,wals,Voicing and Gaps in Plosive Systems
60A,136,2744060591.0,5420319440.463,40.0,49.9,wals,"Genitives, Adjectives and Relative Clauses"
61A,122,3163108443.0,6028477577.7422,46.1,55.5,wals,Adjectives without Nouns
62A,167,3633283566.0,6683544790.617,53.0,61.5,wals,Action Nominal Constructions
63A,232,3561340734.0,6414153073.988,51.9,59.0,wals,Noun Phrase Conjunction
64A,299,3764370520.0,6539285819.838,54.9,60.2,wals,Nominal and Verbal Conjunction
65A,220,4449900250.0,7497840469.804029,64.9,69.0,wals,Perfective/Imperfective Aspect
66A,220,4449900250.0,7497840469.804029,64.9,69.0,wals,The Past Tense
67A,220,4449900250.0,7497840469.804029,64.9,69.0,wals,The Future Tense
68A,220,4449900250.0,7497840469.804029,64.9,69.0,wals,The Perfect
69A,1116,4969276973.0,8347968076.47343,72.4,76.8,wals,Position of Tense-Aspect Affixes
6A,559,4292711474.0,7294330961.2226,62.6,67.1,wals,Uvular Consonants
70A,544,4618811948.0,7718370564.09783,67.3,71.0,wals,The Morphological Imperative
71A,492,4504927817.0,7597427704.51923,65.7,69.9,wals,The Prohibitive
72A,371,4172027317.0,7167026511.49253,60.8,65.9,wals,Imperative-Hortative Systems
73A,315,4045482924.0,7304395599.0596,59.0,67.2,wals,The Optative
74A,232,4389251200.0,7472266986.12653,64.0,68.8,wals,Situational Possibility
75A,237,4359169741.0,7452049307.54453,63.5,68.6,wals,Epistemic Possibility
76A,205,4349405074.0,7440531264.94453,63.4,68.5,wals,Overlap between Situational and Epistemic Modal Marking
77A,412,3568457194.0,6525696197.715199,52.0,60.0,wals,Semantic Distinctions of Evidentiality
78A,412,3568457194.0,6525696197.715199,52.0,60.0,wals,Coding of Evidentiality
79A,192,3898277045.0,6781307960.9095,56.8,62.4,wals,Suppletion According to Tense and Aspect
79B,192,3898277045.0,6781307960.9095,56.8,62.4,wals,Suppletion in Imperatives and Hortatives
7A,559,4292711474.0,7294330961.2226,62.6,67.1,wals,Glottalized Consonants
80A,192,3898277045.0,6781307960.9095,56.8,62.4,wals,Verbal Number and Suppletion
81A,1346,5409913607.0,9136281657.44003,78.9,84.1,wals,"Order of Subject, Object and Verb"
81B,66,166020903.0,252074211.74479997,2.4,2.3,wals,"Languages with two Dominant Orders of Subject, Object, and Verb"
82A,1464,5503352821.0,9226893872.94903,80.2,84.9,wals,Order of Subject and Verb
83A,1484,5496653809.0,9226076139.02803,80.1,84.9,wals,Order of Object and Verb
84A,496,3244414152.0,6007705514.0522,47.3,55.3,wals,"Order of Object, Oblique, and Verb"
85A,1162,4945879911.0,8752540322.68343,72.1,80.5,wals,Order of Adposition and Noun Phrase
86A,1225,4892185870.0,8653181405.59553,71.3,79.6,wals,Order of Genitive and Noun
87A,1336,5052554216.0,8816218638.99043,73.7,81.1,wals,Order of Adjective and Noun
88A,1199,5014669380.0,8797903076.248829,73.1,81.0,wals,Order of Demonstrative and Noun
89A,1131,4761926598.0,8520311227.1612,69.4,78.4,wals,Order of Numeral and Noun
8A,559,4292711474.0,7294330961.2226,62.6,67.1,wals,Lateral Consonants
90A,810,4896268360.0,8245437703.66893,71.4,75.9,wals,Order of Relative Clause and Noun
90B,187,1941277563.0,2572421494.1584,28.3,23.7,wals,Prenominal relative clauses
90C,612,2543812131.0,4744656522.60173,37.1,43.7,wals,Postnominal relative clauses
90D,62,358432103.0,420194224.703,5.2,3.9,wals,Internally-headed relative clauses
90E,23,542277979.0,1044013038.615,7.9,9.6,wals,Correlative relative clauses
90F,10,3947.0,222395.4798,0.0,0.0,wals,Adjoined relative clauses
90G,5,21000.0,0.0,0.0,0.0,wals,Double-headed relative clauses
91A,470,4366375827.0,7850294405.1130295,63.6,72.2,wals,Order of Degree Word and Adjective
92A,870,4758683781.0,8384853474.41973,69.4,77.2,wals,Position of Polar Question Particles
93A,891,4577198631.0,7931379505.1761,66.7,73.0,wals,Position of Interrogative Phrases in Content Questions
94A,650,3600446775.0,6931452913.9291,52.5,63.8,wals,Order of Adverbial Subordinator and Clause
95A,1121,4952114491.0,8760959370.57203,72.2,80.6,wals,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase
96A,864,4910296936.0,8274019667.07473,71.6,76.1,wals,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun
97A,1288,5045243253.0,8803474377.76523,73.5,81.0,wals,Relationship between the Order of Object and Verb and the Order of Adjective and Noun
98A,189,3421051840.0,6261100880.8664,49.9,57.6,wals,Alignment of Case Marking of Full Noun Phrases
99A,171,3420375625.0,6260479822.2736,49.9,57.6,wals,Alignment of Case Marking of Pronouns
9A,450,3636420495.0,6557051401.6182995,53.0,60.3,wals,The Velar Nasal
GB020,2130,4676249601.0,8085446114.933972,68.2,74.4,grambank,Are there definite or specific articles?
GB021,2153,4555487368.0,7948027313.7219715,66.4,73.1,grambank,Do indefinite nominals commonly have indefinite articles?
GB022,2139,4526827477.0,7938503757.739972,66.0,73.0,grambank,Are there prenominal articles?
GB023,2137,4678225679.0,8088369040.473972,68.2,74.4,grambank,Are there postnominal articles?
GB024,2131,4632314573.0,8049341596.233972,67.5,74.1,grambank,What is the order of numeral and noun in the NP?
GB025,2200,4648740150.0,8045932724.645172,67.8,74.0,grambank,What is the order of adnominal demonstrative and noun?
GB026,1720,3838010497.0,6762838210.3181715,55.9,62.2,grambank,Can adnominal property words occur discontinuously?
GB027,1725,4272496563.0,7588758155.5021715,62.3,69.8,grambank,Are nominal conjunction and comitative expressed by different elements?
GB028,2289,4659497590.0,8042572801.275971,67.9,74.0,grambank,Is there a distinction between inclusive and exclusive?
GB030,2306,4677158928.0,8094323010.825171,68.2,74.5,grambank,Is there a gender distinction in independent 3rd person pronouns?
GB031,2264,4674421129.0,8089417642.913972,68.1,74.4,grambank,Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?
GB035,2119,4592744444.0,7924552272.240171,66.9,72.9,grambank,Are there three or more distance contrasts in demonstratives?
GB036,2117,4664364473.0,8083044867.093572,68.0,74.4,grambank,Do demonstratives show an elevation distinction?
GB037,2080,4635049378.0,7869154157.994972,67.6,72.4,grambank,Do demonstratives show a visible-nonvisible distinction?
GB038,2136,4515037790.0,7898399469.164971,65.8,72.7,grambank,Are there demonstrative classifiers?
GB039,2080,4296927750.0,7439743807.176772,62.6,68.5,grambank,Is there nonphonological allomorphy of noun number markers?
GB041,1690,3888216528.0,7000042326.029972,56.7,64.4,grambank,Are there several nouns (more than three) which are suppletive for number?
GB042,2280,4667285202.0,8091954910.975972,68.0,74.5,grambank,Is there productive overt morphological singular marking on nouns?
GB043,2234,4678038913.0,8095632614.613972,68.2,74.5,grambank,Is there productive morphological dual marking on nouns?
GB044,2234,4663605631.0,8085735776.803972,68.0,74.4,grambank,Is there productive morphological plural marking on nouns?
GB046,1432,3990946145.0,7007184211.1004715,58.2,64.5,grambank,Is there an associative plural marker for nouns?
GB047,1611,4422847239.0,7835602069.078772,64.5,72.1,grambank,Is there a productive morphological pattern for deriving an action/state noun from a verb?
GB048,1611,4246781680.0,7532188634.962771,61.9,69.3,grambank,Is there a productive morphological pattern for deriving an agent noun from a verb?
GB049,1538,4149146835.0,7501967878.359172,60.5,69.0,grambank,Is there a productive morphological pattern for deriving an object noun from a verb?
GB051,2139,4477737524.0,7731352092.264172,65.3,71.1,grambank,Is there a gender/noun class system where sex is a factor in class assignment?
GB052,2160,4486363364.0,7748519608.132172,65.4,71.3,grambank,Is there a gender/noun class system where shape is a factor in class assignment?
GB053,2113,4431270188.0,7653145241.618172,64.6,70.4,grambank,Is there a gender/noun class system where animacy is a factor in class assignment?
GB054,2123,4461784472.0,7719737641.307172,65.0,71.0,grambank,Is there a gender/noun class system where plant status is a factor in class assignment?
GB057,2110,4490626254.0,7825547093.917972,65.5,72.0,grambank,Are there numeral classifiers?
GB058,2165,4488329195.0,7869783629.589972,65.4,72.4,grambank,Are there possessive classifiers?
GB059,1965,4400539561.0,7786272823.147972,64.1,71.6,grambank,Is the adnominal possessive construction different for alienable and inalienable nouns?
GB065,2253,4676475389.0,8095523430.191972,68.2,74.5,grambank,What is the pragmatically unmarked order of adnominal possessor noun and possessed noun?
GB068,1892,4381636324.0,7384264979.102631,63.9,67.9,grambank,"Do core adjectives (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?"
GB069,1806,4323891370.0,7691398550.81403,63.0,70.8,grambank,"Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?"
GB070,2200,4570238073.0,7901510758.548172,66.6,72.7,grambank,Are there morphological cases for non-pronominal core arguments (i.e. S/A/P)?
GB071,2173,4637971198.0,8044661534.888172,67.6,74.0,grambank,Are there morphological cases for pronominal core arguments (i.e. S/A/P)?
GB072,2162,4595141662.0,8011614257.041172,67.0,73.7,grambank,Are there morphological cases for oblique non-pronominal NPs (i.e. not S/A/P)?
GB073,2042,4559608207.0,7581866789.486172,66.5,69.8,grambank,Are there morphological cases for independent oblique personal pronominal arguments (i.e. not S/A/P)?
GB074,2196,4583078339.0,7992689099.628972,66.8,73.5,grambank,Are there prepositions?
GB075,2090,4610231928.0,8044374750.030972,67.2,74.0,grambank,Are there postpositions?
GB079,2104,4074078248.0,7209273253.059172,59.4,66.3,grambank,"Do verbs have prefixes/proclitics, other than those that only mark A, S or P (do include portmanteau: A & S + TAM)?"
GB080,2196,4524954309.0,7924085860.828772,66.0,72.9,grambank,"Do verbs have suffixes/enclitics, other than those that only mark A, S or P (do include portmanteau: A & S + TAM)?"
GB081,2080,4516531522.0,7911062726.821972,65.8,72.8,grambank,Is there productive infixation in verbs?
GB082,2189,4604688419.0,7847291981.972772,67.1,72.2,grambank,Is there overt morphological marking of present tense on verbs?
GB083,2199,4624610144.0,8041493152.643972,67.4,74.0,grambank,Is there overt morphological marking on the verb dedicated to past tense?
GB084,2204,4625494433.0,8043084600.923972,67.4,74.0,grambank,Is there overt morphological marking on the verb dedicated to future tense?
GB086,2064,4631526437.0,7653573984.243972,67.5,70.4,grambank,Is a morphological distinction between perfective and imperfective aspect available on verbs?
GB089,2247,4631970809.0,8048404285.923972,67.5,74.1,grambank,Can the S argument be indexed by a suffix/enclitic on the verb in the simple main clause?
GB090,2254,4552597280.0,7948594559.631972,66.4,73.1,grambank,Can the S argument be indexed by a prefix/proclitic on the verb in the simple main clause?
GB091,2241,4632075258.0,8048807425.083972,67.5,74.1,grambank,Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?
GB092,2256,4534190369.0,7928740979.443972,66.1,73.0,grambank,Can the A argument be indexed by a prefix/proclitic on the verb in the simple main clause?
GB093,2237,4579847877.0,7974220085.533972,66.8,73.4,grambank,Can the P argument be indexed by a suffix/enclitic on the verb in the simple main clause?
GB094,2234,4575633875.0,7974222452.989972,66.7,73.4,grambank,Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?
GB095,1976,4494059833.0,7897671362.864972,65.5,72.7,grambank,Are variations in marking strategies of core participants based on TAM distinctions?
GB096,1981,4494461233.0,7900479648.604972,65.5,72.7,grambank,Are variations in marking strategies of core participants based on verb classes?
GB098,1992,4460636822.0,7872434822.017172,65.0,72.4,grambank,Are variations in marking strategies of core participants based on person distinctions?
GB099,1883,4313566362.0,7732164551.812372,62.9,71.1,grambank,Can verb stems alter according to the person of a core participant?
GB103,1982,4505209077.0,7894049500.803372,65.7,72.6,grambank,Is there a benefactive applicative marker on the verb (including indexing)?
GB104,1923,4430436292.0,7782714430.293372,64.6,71.6,grambank,Is there an instrumental applicative marker on the verb (including indexing)?
GB105,1830,4358142782.0,7326953772.2549715,63.5,67.4,grambank,Can the recipient in a ditransitive construction be marked like the monotransitive patient?
GB107,2235,4589526741.0,8017886380.543972,66.9,73.8,grambank,"Can standard negation be marked by an affix, clitic or modification of the verb?"
GB108,2039,4422445322.0,7818086871.422972,64.5,71.9,grambank,Is there directional or locative morphological marking on verbs?
GB109,1831,4306708819.0,7715658589.258371,62.8,71.0,grambank,Is there verb suppletion for participant number?
GB110,1829,4305246144.0,7709561312.797772,62.8,70.9,grambank,Is there verb suppletion for tense or aspect?
GB111,2041,4373951722.0,7740009389.951972,63.8,71.2,grambank,Are there conjugation classes?
GB113,1816,4373369714.0,7755134041.46703,63.8,71.4,grambank,Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?
GB114,1909,4455040286.0,7863022114.929972,64.9,72.4,grambank,Is there a phonologically bound reflexive marker on the verb?
GB115,1901,4396608524.0,7813488300.499971,64.1,71.9,grambank,Is there a phonologically bound reciprocal marker on the verb?
GB116,1876,4420538142.0,7749125284.5365715,64.4,71.3,grambank,"Do verbs classify the shape, size or consistency of absolutive arguments by means of incorporated nouns, verbal affixes or suppletive verb stems?"
GB117,1971,4509853069.0,7490375147.484172,65.7,68.9,grambank,Is there a copula for predicate nominals?
GB118,1543,4116658015.0,7376141170.927629,60.0,67.9,grambank,Are there serial verb constructions?
GB119,1833,4381713438.0,7374317171.94703,63.9,67.9,grambank,"Can mood be marked by an inflecting word (""auxiliary verb"")?"
GB120,1870,4265723472.0,7175260723.36663,62.2,66.0,grambank,"Can aspect be marked by an inflecting word (""auxiliary verb"")?"
GB121,1896,4329041618.0,7307832917.71503,63.1,67.2,grambank,"Can tense be marked by an inflecting word (""auxiliary verb"")?"
GB122,1569,4289804823.0,7663525135.916972,62.5,70.5,grambank,Is verb compounding a regular process?
GB123,1211,3875240128.0,7139518834.942272,56.5,65.7,grambank,Are there verb-adjunct (aka light-verb) constructions?
GB124,1607,4276987140.0,7633479061.006971,62.3,70.2,grambank,Is incorporation of nouns into verbs a productive intransitivizing process?
GB126,1733,4496632959.0,7763785717.624971,65.5,71.4,grambank,Is there an existential verb?
GB127,1280,3538807575.0,6480845044.467972,51.6,59.6,grambank,Are different posture verbs used obligatorily depending on an inanimate locatum's shape or position (e.g. 'to lie' vs. 'to stand')?
GB129,2040,4128721681.0,7308279687.326272,60.2,67.2,grambank,"Is there a notably small number, i.e. about 100 or less, of verb roots in the language?"
GB130,2251,4674663276.0,8090669122.095972,68.1,74.4,grambank,What is the pragmatically unmarked order of S and V in intransitive clauses?
GB131,2278,4635052368.0,8051694237.711972,67.6,74.1,grambank,Is a pragmatically unmarked constituent order verb-initial for transitive clauses?
GB132,2257,4619706491.0,8033766992.627972,67.3,73.9,grambank,Is a pragmatically unmarked constituent order verb-medial for transitive clauses?
GB133,2266,4621548866.0,8034514483.251972,67.4,73.9,grambank,Is a pragmatically unmarked constituent order verb-final for transitive clauses?
GB134,1697,4398313856.0,7765462416.02963,64.1,71.5,grambank,Is the order of constituents the same in main and subordinate clauses?
GB135,1553,4289120453.0,7655795809.4782295,62.5,70.4,grambank,Do clausal objects usually occur in the same position as nominal objects?
GB136,1969,4448285148.0,7852075253.2479725,64.8,72.3,grambank,Is the order of core argument (i.e. S/A/P) constituents fixed?
GB137,2154,4503858559.0,7894880365.069372,65.7,72.6,grambank,Can standard negation be marked clause-finally?
GB138,2145,4390363149.0,7450644297.952172,64.0,68.6,grambank,Can standard negation be marked clause-initially?
GB139,1974,4482104920.0,7920932367.058172,65.3,72.9,grambank,Is there a difference between imperative (prohibitive) and declarative negation constructions?
GB140,1531,4217051690.0,7617441222.761772,61.5,70.1,grambank,"Is verbal predication marked by the same negator as all of the following types of predication: locational, existential and nominal?"
